name,address,city,state,zipCode,phoneNumber,email,totalBeds,availableBeds,description
Open Door Mission - Seattle Program South,2998 Market St,Seattle,WA,47633,369-281-1019,contact10891@shelter.org,119,9,Scraped-style dataset with room availability restored.
Urban Shelter - Los Angeles Mission West,2043 3rd St,Los Angeles,CA,31793,781-449-4993,contact10892@shelter.org,45,3,Scraped-style dataset with room availability restored.
Hope Center - New York Program South,8502 Walnut St,New York,NY,24478,559-807-7254,contact10893@shelter.org,29,8,Scraped-style dataset with room availability restored.
Family Shelter Network - Boston Program,8346 Broad St,Boston,MA,26311,778-563-7253,contact10894@shelter.org,56,19,Scraped-style dataset with room availability restored.
Union Gospel Mission - Nashville Program,3451 Main St,Nashville,TN,69758,516-688-5313,contact10895@shelter.org,58,7,Scraped-style dataset with room availability restored.
Veterans Outreach - Austin Program South,769 Main St,Austin,TX,58149,794-277-1763,contact10896@shelter.org,18,6,Scraped-style dataset with room availability restored.
Rescue Mission - Baltimore Program North,6437 Oak St,Baltimore,MD,28918,249-827-1794,contact10897@shelter.org,119,37,Scraped-style dataset with room availability restored.
Open Door Mission - Houston Mission,3516 Elm St,Houston,TX,97820,556-545-3601,contact10898@shelter.org,34,12,Scraped-style dataset with room availability restored.
Hope Center - Houston Mission North,5076 Walnut St,Houston,TX,54690,639-449-4614,contact10899@shelter.org,105,39,Scraped-style dataset with room availability restored.
Rescue Mission - San Diego Services,9328 Broad St,San Diego,CA,90593,799-410-4033,contact10900@shelter.org,25,6,Scraped-style dataset with room availability restored.
Open Door Mission - Phoenix Shelter South,5190 Maple St,Phoenix,AZ,95692,869-861-2379,contact10901@shelter.org,67,28,Scraped-style dataset with room availability restored.
Faith Shelter - Phoenix Center South,8730 Walnut St,Phoenix,AZ,85081,400-975-8908,contact10902@shelter.org,56,14,Scraped-style dataset with room availability restored.
Faith Shelter - Baltimore Center,1749 Market St,Baltimore,MD,48621,530-551-4943,contact10903@shelter.org,34,5,Scraped-style dataset with room availability restored.
Emergency Housing Center - Washington Shelter,2596 Market St,Washington,DC,81570,866-957-1301,contact10904@shelter.org,32,7,Scraped-style dataset with room availability restored.
Salvation Army - Washington Shelter South,986 Walnut St,Washington,DC,26709,764-868-1190,contact10905@shelter.org,32,4,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Detroit Program South,8966 Broad St,Detroit,MI,71327,895-768-7100,contact10906@shelter.org,107,42,Scraped-style dataset with room availability restored.
Open Door Mission - Boston Mission North,2307 Broad St,Boston,MA,31855,960-336-7478,contact10907@shelter.org,85,30,Scraped-style dataset with room availability restored.
Community Shelter - Washington Services North,4112 2nd St,Washington,DC,18612,555-527-6948,contact10908@shelter.org,57,6,Scraped-style dataset with room availability restored.
Urban Shelter - Portland Program South,31 Walnut St,Portland,OR,63771,434-851-3009,contact10909@shelter.org,76,23,Scraped-style dataset with room availability restored.
Transitional Housing Program - San Francisco Services North,687 3rd St,San Francisco,CA,79308,320-609-3955,contact10910@shelter.org,71,1,Scraped-style dataset with room availability restored.
Safe Haven - San Antonio Shelter East,5922 2nd St,San Antonio,TX,24086,600-638-4480,contact10911@shelter.org,69,31,Scraped-style dataset with room availability restored.
Family Shelter Network - Los Angeles Services East,3207 Walnut St,Los Angeles,CA,81580,543-381-4294,contact10912@shelter.org,115,7,Scraped-style dataset with room availability restored.
Safe Haven - Dallas Program East,4962 Walnut St,Dallas,TX,94924,663-829-6631,contact10913@shelter.org,24,9,Scraped-style dataset with room availability restored.
Community Shelter - Columbus Shelter South,3510 Maple St,Columbus,OH,80865,322-885-1376,contact10914@shelter.org,71,1,Scraped-style dataset with room availability restored.
Community Shelter - Baltimore Shelter West,8186 Main St,Baltimore,MD,65431,323-993-6997,contact10915@shelter.org,42,13,Scraped-style dataset with room availability restored.
Family Shelter Network - Los Angeles Services West,6742 Maple St,Los Angeles,CA,52326,933-746-9396,contact10916@shelter.org,85,1,Scraped-style dataset with room availability restored.
Family Shelter Network - Portland Mission North,5040 2nd St,Portland,OR,72095,324-480-3906,contact10917@shelter.org,94,3,Scraped-style dataset with room availability restored.
Safe Haven - San Antonio Shelter North,5514 Broad St,San Antonio,TX,12244,586-466-3080,contact10918@shelter.org,115,1,Scraped-style dataset with room availability restored.
Open Door Mission - Portland Mission South,6301 Cedar St,Portland,OR,27923,768-218-9447,contact10919@shelter.org,103,12,Scraped-style dataset with room availability restored.
Urban Shelter - Washington Mission South,1370 Elm St,Washington,DC,32492,824-399-5366,contact10920@shelter.org,67,3,Scraped-style dataset with room availability restored.
Safe Haven - Chicago Mission North,7664 Pine St,Chicago,IL,73447,590-305-5669,contact10921@shelter.org,67,10,Scraped-style dataset with room availability restored.
Hope Center - Columbus Mission,8690 Elm St,Columbus,OH,26936,307-891-7473,contact10922@shelter.org,56,6,Scraped-style dataset with room availability restored.
City Shelter - Nashville Mission West,594 Maple St,Nashville,TN,80485,227-507-5477,contact10923@shelter.org,61,20,Scraped-style dataset with room availability restored.
Veterans Outreach - Washington Center West,7307 Walnut St,Washington,DC,76513,395-559-5555,contact10924@shelter.org,28,10,Scraped-style dataset with room availability restored.
Hope Center - Portland Mission East,5701 Pine St,Portland,OR,80315,811-852-6181,contact10925@shelter.org,90,35,Scraped-style dataset with room availability restored.
Union Gospel Mission - Denver Services East,8929 Oak St,Denver,CO,20780,557-482-1390,contact10926@shelter.org,119,48,Scraped-style dataset with room availability restored.
Faith Shelter - Charlotte Mission West,5994 Maple St,Charlotte,NC,83979,660-497-8097,contact10927@shelter.org,34,13,Scraped-style dataset with room availability restored.
Hope Center - Jacksonville Program South,6857 Pine St,Jacksonville,FL,46524,786-334-2258,contact10928@shelter.org,49,22,Scraped-style dataset with room availability restored.
Hope Center - Denver Services West,7650 Cedar St,Denver,CO,80191,850-350-6039,contact10929@shelter.org,72,28,Scraped-style dataset with room availability restored.
Hope Center - Los Angeles Services South,1595 Pine St,Los Angeles,CA,34050,770-605-9967,contact10930@shelter.org,35,5,Scraped-style dataset with room availability restored.
Faith Shelter - San Diego Program South,331 Market St,San Diego,CA,46810,785-659-4751,contact10931@shelter.org,102,2,Scraped-style dataset with room availability restored.
Union Gospel Mission - Houston Shelter West,3538 Broad St,Houston,TX,85290,651-959-5196,contact10932@shelter.org,104,18,Scraped-style dataset with room availability restored.
Open Door Mission - Boston Program North,3698 Elm St,Boston,MA,37478,659-946-8147,contact10933@shelter.org,23,6,Scraped-style dataset with room availability restored.
Union Gospel Mission - San Francisco Program South,2892 Pine St,San Francisco,CA,31420,745-520-1473,contact10934@shelter.org,96,34,Scraped-style dataset with room availability restored.
Safe Haven - Chicago Program South,2749 Market St,Chicago,IL,14995,690-302-7802,contact10935@shelter.org,69,9,Scraped-style dataset with room availability restored.
Transitional Housing Program - Denver Services East,2141 Walnut St,Denver,CO,17952,267-877-7337,contact10936@shelter.org,79,5,Scraped-style dataset with room availability restored.
City Shelter - New York Services South,4356 Broad St,New York,NY,88235,475-631-4049,contact10937@shelter.org,72,0,Scraped-style dataset with room availability restored.
Rescue Mission - Columbus Services North,4870 Oak St,Columbus,OH,43483,469-955-3420,contact10938@shelter.org,67,3,Scraped-style dataset with room availability restored.
Faith Shelter - Washington Mission North,6933 3rd St,Washington,DC,59577,402-216-9507,contact10939@shelter.org,67,26,Scraped-style dataset with room availability restored.
Transitional Housing Program - San Diego Program South,7413 Elm St,San Diego,CA,70786,901-617-7249,contact10940@shelter.org,36,5,Scraped-style dataset with room availability restored.
Union Gospel Mission - Portland Center,1935 Maple St,Portland,OR,13918,280-710-1463,contact10941@shelter.org,45,18,Scraped-style dataset with room availability restored.
Urban Shelter - Jacksonville Center North,8549 Oak St,Jacksonville,FL,25091,544-507-7502,contact10942@shelter.org,23,3,Scraped-style dataset with room availability restored.
Veterans Outreach - Charlotte Services West,4916 Maple St,Charlotte,NC,82039,441-491-3305,contact10943@shelter.org,97,16,Scraped-style dataset with room availability restored.
City Shelter - Charlotte Services South,115 Walnut St,Charlotte,NC,32385,710-427-9773,contact10944@shelter.org,113,27,Scraped-style dataset with room availability restored.
Community Shelter - San Francisco Center North,1189 Broad St,San Francisco,CA,97972,715-232-4929,contact10945@shelter.org,82,15,Scraped-style dataset with room availability restored.
Salvation Army - Jacksonville Center East,9148 Cedar St,Jacksonville,FL,32783,432-481-6023,contact10946@shelter.org,50,1,Scraped-style dataset with room availability restored.
Emergency Housing Center - Columbus Program East,7909 Main St,Columbus,OH,53688,836-220-6311,contact10947@shelter.org,30,5,Scraped-style dataset with room availability restored.
Family Shelter Network - Charlotte Program South,6692 Market St,Charlotte,NC,39268,543-341-2140,contact10948@shelter.org,50,18,Scraped-style dataset with room availability restored.
Hope Center - Seattle Center West,1700 3rd St,Seattle,WA,97143,529-287-1508,contact10949@shelter.org,49,4,Scraped-style dataset with room availability restored.
Family Shelter Network - Chicago Program East,6963 Broad St,Chicago,IL,75108,417-258-2828,contact10950@shelter.org,112,1,Scraped-style dataset with room availability restored.
Transitional Housing Program - Seattle Program,1619 Elm St,Seattle,WA,42989,711-708-1526,contact10951@shelter.org,20,3,Scraped-style dataset with room availability restored.
City Shelter - Los Angeles Services South,6295 Pine St,Los Angeles,CA,75068,590-483-7753,contact10952@shelter.org,118,19,Scraped-style dataset with room availability restored.
Family Shelter Network - Los Angeles Services West,8438 Walnut St,Los Angeles,CA,77174,803-572-2183,contact10953@shelter.org,21,0,Scraped-style dataset with room availability restored.
Safe Haven - Los Angeles Mission North,7934 Walnut St,Los Angeles,CA,97835,622-526-1443,contact10954@shelter.org,74,32,Scraped-style dataset with room availability restored.
City Shelter - San Francisco Center South,7720 Broad St,San Francisco,CA,16487,863-304-5796,contact10955@shelter.org,117,5,Scraped-style dataset with room availability restored.
Faith Shelter - Seattle Shelter North,9067 Main St,Seattle,WA,97013,265-935-6133,contact10956@shelter.org,17,5,Scraped-style dataset with room availability restored.
Veterans Outreach - Houston Shelter West,8670 2nd St,Houston,TX,91353,469-675-7086,contact10957@shelter.org,94,0,Scraped-style dataset with room availability restored.
Veterans Outreach - Philadelphia Center,2613 Pine St,Philadelphia,PA,87791,545-734-8053,contact10958@shelter.org,107,30,Scraped-style dataset with room availability restored.
Emergency Housing Center - San Antonio Program North,1022 3rd St,San Antonio,TX,75040,917-306-7619,contact10959@shelter.org,64,21,Scraped-style dataset with room availability restored.
Faith Shelter - Chicago Shelter East,879 3rd St,Chicago,IL,15236,515-944-5638,contact10960@shelter.org,81,8,Scraped-style dataset with room availability restored.
Community Shelter - Washington Mission North,6052 2nd St,Washington,DC,20650,706-876-9146,contact10961@shelter.org,70,18,Scraped-style dataset with room availability restored.
Safe Haven - San Antonio Mission North,4228 Cedar St,San Antonio,TX,36830,458-842-6924,contact10962@shelter.org,73,20,Scraped-style dataset with room availability restored.
Hope Center - Baltimore Services South,812 Elm St,Baltimore,MD,10240,258-653-1501,contact10963@shelter.org,79,3,Scraped-style dataset with room availability restored.
Open Door Mission - Seattle Center West,2734 Market St,Seattle,WA,58067,701-793-9207,contact10964@shelter.org,112,4,Scraped-style dataset with room availability restored.
Union Gospel Mission - Jacksonville Mission,4911 Maple St,Jacksonville,FL,71559,641-598-7441,contact10965@shelter.org,120,7,Scraped-style dataset with room availability restored.
Salvation Army - Washington Program West,6178 2nd St,Washington,DC,43066,325-661-4964,contact10966@shelter.org,81,35,Scraped-style dataset with room availability restored.
Salvation Army - Jacksonville Shelter East,3293 Oak St,Jacksonville,FL,71094,765-687-6424,contact10967@shelter.org,26,10,Scraped-style dataset with room availability restored.
Emergency Housing Center - Phoenix Center North,7047 Elm St,Phoenix,AZ,18691,712-864-4234,contact10968@shelter.org,111,33,Scraped-style dataset with room availability restored.
Faith Shelter - San Francisco Services South,3731 3rd St,San Francisco,CA,25409,735-337-9665,contact10969@shelter.org,107,8,Scraped-style dataset with room availability restored.
Safe Haven - Boston Services North,9607 Pine St,Boston,MA,53851,251-957-8385,contact10970@shelter.org,56,16,Scraped-style dataset with room availability restored.
Veterans Outreach - Baltimore Mission North,10 2nd St,Baltimore,MD,30886,913-666-2792,contact10971@shelter.org,34,1,Scraped-style dataset with room availability restored.
Emergency Housing Center - Nashville Program South,4616 Main St,Nashville,TN,50308,658-745-8664,contact10972@shelter.org,102,42,Scraped-style dataset with room availability restored.
Rescue Mission - Chicago Mission West,5331 Broad St,Chicago,IL,66284,373-467-5374,contact10973@shelter.org,82,35,Scraped-style dataset with room availability restored.
Union Gospel Mission - San Diego Shelter North,3864 Pine St,San Diego,CA,38026,521-496-8239,contact10974@shelter.org,82,8,Scraped-style dataset with room availability restored.
Family Shelter Network - San Francisco Services East,1292 Pine St,San Francisco,CA,40374,939-445-7370,contact10975@shelter.org,66,13,Scraped-style dataset with room availability restored.
Transitional Housing Program - Dallas Program North,434 Market St,Dallas,TX,82658,512-424-7802,contact10976@shelter.org,19,6,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Indianapolis Mission West,2317 Elm St,Indianapolis,IN,89652,606-598-6824,contact10977@shelter.org,63,26,Scraped-style dataset with room availability restored.
Family Shelter Network - Nashville Shelter South,5978 Walnut St,Nashville,TN,46911,951-795-5914,contact10978@shelter.org,49,9,Scraped-style dataset with room availability restored.
Urban Shelter - San Diego Program North,498 Market St,San Diego,CA,29587,723-755-1610,contact10979@shelter.org,90,15,Scraped-style dataset with room availability restored.
Salvation Army - Dallas Mission,7716 Oak St,Dallas,TX,85649,534-231-9906,contact10980@shelter.org,119,19,Scraped-style dataset with room availability restored.
Safe Haven - Chicago Program East,529 Pine St,Chicago,IL,56907,635-419-9944,contact10981@shelter.org,50,11,Scraped-style dataset with room availability restored.
City Shelter - Detroit Mission,5543 Oak St,Detroit,MI,23353,784-548-4079,contact10982@shelter.org,25,8,Scraped-style dataset with room availability restored.
Rescue Mission - Houston Shelter North,5707 Oak St,Houston,TX,75022,328-779-3661,contact10983@shelter.org,27,1,Scraped-style dataset with room availability restored.
Salvation Army - Nashville Program West,7496 Market St,Nashville,TN,30278,697-627-4204,contact10984@shelter.org,72,25,Scraped-style dataset with room availability restored.
Emergency Housing Center - Phoenix Shelter,2841 Walnut St,Phoenix,AZ,20515,955-315-5854,contact10985@shelter.org,59,15,Scraped-style dataset with room availability restored.
Open Door Mission - Dallas Center South,1325 Market St,Dallas,TX,66593,391-251-4708,contact10986@shelter.org,97,11,Scraped-style dataset with room availability restored.
Open Door Mission - Portland Center North,3413 Main St,Portland,OR,81892,579-919-4150,contact10987@shelter.org,15,2,Scraped-style dataset with room availability restored.
Rescue Mission - Denver Mission West,684 2nd St,Denver,CO,16834,641-917-7212,contact10988@shelter.org,45,17,Scraped-style dataset with room availability restored.
Transitional Housing Program - San Diego Center East,4502 Maple St,San Diego,CA,86966,423-848-1189,contact10989@shelter.org,46,10,Scraped-style dataset with room availability restored.
Transitional Housing Program - Portland Center North,7354 Elm St,Portland,OR,16908,401-735-1563,contact10990@shelter.org,74,28,Scraped-style dataset with room availability restored.
Neighborhood Shelter - San Francisco Services,336 Oak St,San Francisco,CA,52158,843-569-3784,contact10991@shelter.org,91,14,Scraped-style dataset with room availability restored.
Hope Center - Austin Mission East,6212 Main St,Austin,TX,49423,835-441-4927,contact10992@shelter.org,29,11,Scraped-style dataset with room availability restored.
Faith Shelter - Nashville Center North,3397 Elm St,Nashville,TN,20286,243-618-5262,contact10993@shelter.org,45,7,Scraped-style dataset with room availability restored.
Hope Center - Seattle Mission East,5825 Elm St,Seattle,WA,28064,260-743-4624,contact10994@shelter.org,79,8,Scraped-style dataset with room availability restored.
Rescue Mission - Portland Mission,5092 3rd St,Portland,OR,14406,647-589-8089,contact10995@shelter.org,105,16,Scraped-style dataset with room availability restored.
Community Shelter - Los Angeles Program East,5412 Elm St,Los Angeles,CA,52932,771-543-2934,contact10996@shelter.org,101,5,Scraped-style dataset with room availability restored.
Community Shelter - Austin Services,9370 3rd St,Austin,TX,30592,750-819-8774,contact10997@shelter.org,27,5,Scraped-style dataset with room availability restored.
Veterans Outreach - San Antonio Shelter North,6564 Market St,San Antonio,TX,88992,308-510-7802,contact10998@shelter.org,94,40,Scraped-style dataset with room availability restored.
City Shelter - Columbus Shelter East,5975 Elm St,Columbus,OH,24484,545-355-5009,contact10999@shelter.org,80,12,Scraped-style dataset with room availability restored.
Urban Shelter - San Antonio Services West,5998 2nd St,San Antonio,TX,10874,382-941-6628,contact11000@shelter.org,84,20,Scraped-style dataset with room availability restored.
City Shelter - Phoenix Program South,1000 2nd St,Phoenix,AZ,13017,643-894-4743,contact11001@shelter.org,37,3,Scraped-style dataset with room availability restored.
Emergency Housing Center - Denver Shelter East,3700 Oak St,Denver,CO,42418,315-550-7665,contact11002@shelter.org,105,45,Scraped-style dataset with room availability restored.
Safe Haven - Philadelphia Center West,9657 Elm St,Philadelphia,PA,17778,580-650-1291,contact11003@shelter.org,83,18,Scraped-style dataset with room availability restored.
Emergency Housing Center - Boston Mission South,3294 Maple St,Boston,MA,76245,434-949-7588,contact11004@shelter.org,38,2,Scraped-style dataset with room availability restored.
Open Door Mission - Baltimore Shelter,5799 Maple St,Baltimore,MD,16277,851-719-6784,contact11005@shelter.org,84,32,Scraped-style dataset with room availability restored.
Community Shelter - Denver Services,6498 Maple St,Denver,CO,70951,206-984-3656,contact11006@shelter.org,22,3,Scraped-style dataset with room availability restored.
Hope Center - Denver Services West,1608 Walnut St,Denver,CO,82052,343-706-9022,contact11007@shelter.org,87,1,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Washington Program North,3027 Broad St,Washington,DC,98457,975-708-8653,contact11008@shelter.org,78,1,Scraped-style dataset with room availability restored.
Emergency Housing Center - Denver Mission North,2463 Elm St,Denver,CO,17540,732-453-1006,contact11009@shelter.org,50,15,Scraped-style dataset with room availability restored.
Rescue Mission - Dallas Mission South,5470 Elm St,Dallas,TX,39095,440-963-7099,contact11010@shelter.org,29,0,Scraped-style dataset with room availability restored.
Veterans Outreach - Charlotte Mission South,7141 Maple St,Charlotte,NC,55989,335-956-7374,contact11011@shelter.org,94,39,Scraped-style dataset with room availability restored.
Urban Shelter - Nashville Program,3843 Main St,Nashville,TN,10916,909-869-3096,contact11012@shelter.org,15,6,Scraped-style dataset with room availability restored.
Emergency Housing Center - Jacksonville Services West,8833 Pine St,Jacksonville,FL,98853,305-409-6429,contact11013@shelter.org,109,1,Scraped-style dataset with room availability restored.
Hope Center - Seattle Shelter West,7140 Cedar St,Seattle,WA,42961,253-727-6135,contact11014@shelter.org,113,26,Scraped-style dataset with room availability restored.
Transitional Housing Program - Columbus Shelter,2107 Pine St,Columbus,OH,74744,899-566-9467,contact11015@shelter.org,40,10,Scraped-style dataset with room availability restored.
Transitional Housing Program - Chicago Mission North,1935 Cedar St,Chicago,IL,47393,691-314-6152,contact11016@shelter.org,76,8,Scraped-style dataset with room availability restored.
Safe Haven - Charlotte Shelter West,1225 Broad St,Charlotte,NC,31715,483-355-7472,contact11017@shelter.org,75,30,Scraped-style dataset with room availability restored.
City Shelter - San Francisco Services South,17 Main St,San Francisco,CA,37662,805-684-6861,contact11018@shelter.org,89,4,Scraped-style dataset with room availability restored.
Faith Shelter - Denver Program,1653 Maple St,Denver,CO,83259,510-622-9572,contact11019@shelter.org,23,5,Scraped-style dataset with room availability restored.
Safe Haven - Houston Program West,364 Elm St,Houston,TX,38553,684-578-7881,contact11020@shelter.org,40,14,Scraped-style dataset with room availability restored.
Urban Shelter - San Diego Program East,4974 Walnut St,San Diego,CA,78703,963-876-4041,contact11021@shelter.org,39,14,Scraped-style dataset with room availability restored.
Transitional Housing Program - San Antonio Services South,5569 Pine St,San Antonio,TX,19707,776-784-4721,contact11022@shelter.org,101,18,Scraped-style dataset with room availability restored.
Salvation Army - Detroit Shelter South,2049 Maple St,Detroit,MI,15028,532-803-4348,contact11023@shelter.org,101,41,Scraped-style dataset with room availability restored.
Safe Haven - San Diego Center South,2742 Cedar St,San Diego,CA,76729,792-251-5031,contact11024@shelter.org,81,11,Scraped-style dataset with room availability restored.
Open Door Mission - San Francisco Program North,1143 Broad St,San Francisco,CA,55165,992-479-7373,contact11025@shelter.org,120,11,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Columbus Services,5420 Oak St,Columbus,OH,95717,729-417-6367,contact11026@shelter.org,113,47,Scraped-style dataset with room availability restored.
Emergency Housing Center - Denver Center North,1522 3rd St,Denver,CO,24190,515-496-2221,contact11027@shelter.org,48,21,Scraped-style dataset with room availability restored.
Faith Shelter - Denver Center West,648 Cedar St,Denver,CO,50411,858-937-6534,contact11028@shelter.org,15,5,Scraped-style dataset with room availability restored.
Veterans Outreach - Nashville Mission South,6694 Main St,Nashville,TN,91764,818-267-8713,contact11029@shelter.org,113,30,Scraped-style dataset with room availability restored.
Faith Shelter - San Diego Center North,2447 Oak St,San Diego,CA,28081,989-682-9986,contact11030@shelter.org,63,12,Scraped-style dataset with room availability restored.
Family Shelter Network - Chicago Mission East,6323 Market St,Chicago,IL,85489,250-450-7134,contact11031@shelter.org,73,19,Scraped-style dataset with room availability restored.
Urban Shelter - Portland Center West,5871 Broad St,Portland,OR,78224,513-787-8979,contact11032@shelter.org,61,17,Scraped-style dataset with room availability restored.
Safe Haven - Phoenix Mission North,4297 Elm St,Phoenix,AZ,50205,969-803-4305,contact11033@shelter.org,38,15,Scraped-style dataset with room availability restored.
Safe Haven - Denver Mission East,8203 Elm St,Denver,CO,32032,845-388-9869,contact11034@shelter.org,49,19,Scraped-style dataset with room availability restored.
Open Door Mission - Detroit Program,1660 Broad St,Detroit,MI,18708,473-250-7190,contact11035@shelter.org,115,25,Scraped-style dataset with room availability restored.
Family Shelter Network - New York Services,5661 3rd St,New York,NY,20070,901-648-4357,contact11036@shelter.org,94,4,Scraped-style dataset with room availability restored.
Transitional Housing Program - New York Program West,7933 3rd St,New York,NY,36074,255-703-7770,contact11037@shelter.org,74,16,Scraped-style dataset with room availability restored.
Rescue Mission - San Antonio Program North,6521 Maple St,San Antonio,TX,57139,526-436-5238,contact11038@shelter.org,88,21,Scraped-style dataset with room availability restored.
Hope Center - Dallas Services West,4354 Walnut St,Dallas,TX,99850,588-386-6574,contact11039@shelter.org,41,9,Scraped-style dataset with room availability restored.
Faith Shelter - San Antonio Services,683 Walnut St,San Antonio,TX,91630,902-799-8528,contact11040@shelter.org,20,0,Scraped-style dataset with room availability restored.
City Shelter - Indianapolis Services,8108 2nd St,Indianapolis,IN,27413,719-765-8507,contact11041@shelter.org,70,26,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Portland Program,5447 Market St,Portland,OR,82516,848-928-3023,contact11042@shelter.org,18,2,Scraped-style dataset with room availability restored.
Community Shelter - San Diego Services,3749 2nd St,San Diego,CA,63885,750-529-2601,contact11043@shelter.org,50,21,Scraped-style dataset with room availability restored.
City Shelter - Columbus Center West,8455 Main St,Columbus,OH,92543,250-832-7885,contact11044@shelter.org,85,18,Scraped-style dataset with room availability restored.
Family Shelter Network - Detroit Program West,1688 Broad St,Detroit,MI,58411,749-771-1294,contact11045@shelter.org,34,4,Scraped-style dataset with room availability restored.
Urban Shelter - Charlotte Shelter,3536 Cedar St,Charlotte,NC,94980,507-609-6337,contact11046@shelter.org,120,16,Scraped-style dataset with room availability restored.
Transitional Housing Program - Denver Mission East,169 Main St,Denver,CO,50926,422-637-2758,contact11047@shelter.org,62,7,Scraped-style dataset with room availability restored.
Salvation Army - Boston Center,3595 Maple St,Boston,MA,53767,630-520-8558,contact11048@shelter.org,43,19,Scraped-style dataset with room availability restored.
City Shelter - Chicago Program South,8298 2nd St,Chicago,IL,84626,492-632-1264,contact11049@shelter.org,58,8,Scraped-style dataset with room availability restored.
Union Gospel Mission - Chicago Shelter North,1363 Walnut St,Chicago,IL,28019,854-729-2396,contact11050@shelter.org,62,12,Scraped-style dataset with room availability restored.
Hope Center - Boston Mission North,288 2nd St,Boston,MA,32251,803-945-3000,contact11051@shelter.org,94,3,Scraped-style dataset with room availability restored.
Rescue Mission - Detroit Mission East,4738 Elm St,Detroit,MI,78021,783-648-5622,contact11052@shelter.org,36,15,Scraped-style dataset with room availability restored.
City Shelter - Denver Program East,3224 Main St,Denver,CO,73373,781-285-7298,contact11053@shelter.org,49,5,Scraped-style dataset with room availability restored.
Family Shelter Network - Columbus Shelter West,459 Cedar St,Columbus,OH,44007,365-204-5895,contact11054@shelter.org,85,25,Scraped-style dataset with room availability restored.
Safe Haven - Denver Services North,5180 Cedar St,Denver,CO,65237,232-409-4904,contact11055@shelter.org,73,20,Scraped-style dataset with room availability restored.
Veterans Outreach - Indianapolis Center East,9647 Broad St,Indianapolis,IN,46160,316-892-8868,contact11056@shelter.org,69,13,Scraped-style dataset with room availability restored.
Urban Shelter - San Francisco Mission West,3946 Pine St,San Francisco,CA,56203,399-531-2065,contact11057@shelter.org,77,15,Scraped-style dataset with room availability restored.
Salvation Army - San Antonio Services North,1407 Pine St,San Antonio,TX,87147,781-556-7552,contact11058@shelter.org,23,0,Scraped-style dataset with room availability restored.
Veterans Outreach - Charlotte Center North,3123 3rd St,Charlotte,NC,50937,425-601-7741,contact11059@shelter.org,22,1,Scraped-style dataset with room availability restored.
Community Shelter - Houston Shelter West,9538 Elm St,Houston,TX,54487,883-938-5723,contact11060@shelter.org,106,18,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Jacksonville Mission West,829 2nd St,Jacksonville,FL,26429,728-288-6214,contact11061@shelter.org,42,10,Scraped-style dataset with room availability restored.
Faith Shelter - Austin Center East,8944 3rd St,Austin,TX,38329,861-490-2365,contact11062@shelter.org,101,23,Scraped-style dataset with room availability restored.
Veterans Outreach - Charlotte Center North,6541 Pine St,Charlotte,NC,95217,567-230-2508,contact11063@shelter.org,16,0,Scraped-style dataset with room availability restored.
Safe Haven - San Diego Shelter West,3798 Main St,San Diego,CA,78653,559-660-5186,contact11064@shelter.org,102,44,Scraped-style dataset with room availability restored.
Transitional Housing Program - Jacksonville Mission South,316 2nd St,Jacksonville,FL,64220,265-937-5822,contact11065@shelter.org,43,12,Scraped-style dataset with room availability restored.
Safe Haven - Philadelphia Shelter North,2997 Oak St,Philadelphia,PA,12980,520-700-9878,contact11066@shelter.org,118,7,Scraped-style dataset with room availability restored.
Hope Center - Detroit Mission South,1832 Pine St,Detroit,MI,35413,926-270-2457,contact11067@shelter.org,114,2,Scraped-style dataset with room availability restored.
Union Gospel Mission - San Diego Program,8254 Walnut St,San Diego,CA,92997,201-851-5344,contact11068@shelter.org,35,6,Scraped-style dataset with room availability restored.
Salvation Army - San Diego Mission South,9675 Broad St,San Diego,CA,25194,663-439-9102,contact11069@shelter.org,105,4,Scraped-style dataset with room availability restored.
Urban Shelter - Boston Shelter East,2313 Broad St,Boston,MA,35047,466-796-1072,contact11070@shelter.org,80,33,Scraped-style dataset with room availability restored.
Hope Center - Chicago Program West,1150 3rd St,Chicago,IL,41315,827-919-7578,contact11071@shelter.org,95,3,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Washington Center South,902 3rd St,Washington,DC,29857,966-278-5813,contact11072@shelter.org,51,8,Scraped-style dataset with room availability restored.
Family Shelter Network - Indianapolis Center East,4633 2nd St,Indianapolis,IN,88360,945-842-2784,contact11073@shelter.org,67,30,Scraped-style dataset with room availability restored.
Faith Shelter - San Francisco Services South,4951 Market St,San Francisco,CA,18707,602-525-4714,contact11074@shelter.org,93,29,Scraped-style dataset with room availability restored.
Family Shelter Network - San Francisco Center North,7566 Broad St,San Francisco,CA,54500,858-446-6537,contact11075@shelter.org,114,11,Scraped-style dataset with room availability restored.
Faith Shelter - Portland Shelter East,9073 Elm St,Portland,OR,19539,808-233-1358,contact11076@shelter.org,55,23,Scraped-style dataset with room availability restored.
